"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NAICS_2","SITESELECTION_LATITUDE2","SITESELECTION_LONGITUDE2","SITESELECTION_NAICS2_2","DataSource"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2000,12.4,12.6,12.8,11.7,12.6,12.8,12.7,12.9,13.1,13.3,13,11.9,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2001,9.6,5.9,9.4,9.4,7.4,6.8,5.2,5.1,5.6,4.9,4.9,4.1,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2002,4.6,4.6,5.3,4.8,5.4,5.4,4.8,4.8,4.7,4.5,4,3.9,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2003,4.4,4.5,4.4,5,5.5,5,4.8,5.2,5.1,4.5,4.4,3.2,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2004,3.8,3.9,3.6,3.9,4.1,5.1,8.1,4.9,4.4,4.5,3.7,4.3,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2005,1.9,2,2.1,2.3,2.2,2.4,2,2,2.2,1.7,1.8,1.9,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2006,4.5,4.1,3.9,5.2,5.8,5.2,5.2,5.2,5,5.1,4.5,4.3,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2007,4.1,4.7,3.8,3.4,3.9,4.2,4.9,6,4.2,5.3,4.5,3.9,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2008,4.3,4.3,3.7,3.8,4.1,4.5,4.7,5,4.5,4.5,3.8,2.9,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
"AL","RL",NA,NA,NA,"3m",NA,NA,"134",NA,NA,"3m decatur",NA,NA,NA,"3261",NA,NA,"06030002","0603000238",NA,NA,NA,"baker creek",NA,NA,NA,"Morgan",NA,NA,NA,NA,NA,"34.6416664","-87.03611",NA,2009,3.4,3.9,3.8,4,4.2,4.3,4.7,4.9,4.5,4.2,4.2,3.4,"mgd","Metered",6.06575342465753,"mgd","permitted","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$Discharge Data, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$DC Points, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$ReadMe, /AL/USGS Lovelace NP Data Request_20200812_Final.xlsx$NAICS LIST"
