"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","SourceNumber2","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","County2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","SITESELECTION_STATE_NAME","SITESELECTION_StateFIPS","SITESELECTION_CNTY_FIPS","SITESELECTION_ST_CNTY_FIPS","SITESELECTION_X","SITESELECTION_CDC_Region","SITESELECTION_huc2","DataSource"
"AR","TR","PS","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","310003 MALVERN WATER WORK",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,NA,NA,NA,NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2000,0,0,0,0,0,0,0,0,0,0,0,0,"Mgal",NA,4.5,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","TR","PS","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","310003 MALVERN WATER WORK",NA,NA,NA,NA,"327121","3272","Concrete Products, Except Block and Brick",NA,NA,NA,NA,NA,NA,NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2003,0,0,0,0,0,0,0,0,0,0,0,0,"Mgal",NA,4.5,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","TR","PS","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","310003 MALVERN WATER WORK",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,NA,NA,NA,NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2005,0,0,0,0,0,0,0,0,0,0,0,0,"Mgal",NA,4.5,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","TR","PS","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","310003 MALVERN WATER WORK",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,NA,NA,NA,NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2009,0,0,0,0,0,0,0,0,0,0,0,0,"Mgal",NA,4.5,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","WD","SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 01",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2000,0.2,0.34,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,"Mgal",NA,3.54,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","WD","SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 01",NA,NA,NA,NA,"327121","3272","Concrete Products, Except Block and Brick",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2003,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.44999999,"Mgal",NA,4.96,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","WD","SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 01",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2004,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.40000001,0.46000001,"Mgal",NA,4.9600005,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","WD","SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 01",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2005,0.41,0.44999999,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,"Mgal",NA,4.96,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","WD","SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 01",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2009,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.44999999,"Mgal",NA,4.96,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","WD","SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 01",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2010,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,"Mgal",NA,4.9200001,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR","WD","SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 01",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.77",NA,NA,2013,0,0,120000,144000,760000,1344000,1680000,1840000,1600000,960000,272000,136000,"gal",NA,8856000,"gal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR",NA,"SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 02 2012 WY",NA,NA,NA,NA,"327121","3272","Concrete Products, Except Block and Brick",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.803333333333327",NA,NA,2003,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.15000001,"Mgal",NA,3.4499998,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR",NA,"SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 02 2012 WY",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.803333333333327",NA,NA,2004,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.23999999,"Mgal",NA,3.5399997,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"AR",NA,"SW","IN",NA,"ACME BRICK COMPANY PERLA",NA,NA,"310017","15486","15486","WITHDRAWAL 02 2012 WY",NA,NA,NA,NA,"327121","3251","BRICK AND STRUCTURAL CLAY TILE",NA,NA,NA,"N A",NA,"UNKNOWN",NA,NA,"Malvern","Hot Spring","AR","72104",NA,NA,NA,NA,NA,"34.358888888888892","-92.803333333333327",NA,NA,2005,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.30000001,0.23999999,"Mgal",NA,3.5399997,"Mgal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/AR/Industrial_2000-2016_shared.xlsx$Industrial_2000-2019, /AR/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
