"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","Zip2","Lat","Lon","Datum","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_FIPS","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","DataSource"
"KS","NA","NA",NA,"NA","04 lake and land limited liability corporation","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","1382","NA","NA","NA","NA",NA,NA,"NA",NA,"119 N. Rainbow Lake Rd","Wichita","NA",NA,NA,"NA",NA,NA,"37.076300000000003","-97.974299999999999","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","a j investments limited liability corporation","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA","NA",NA,NA,"NA",NA,"Po Box 14686","Shawnee Mission","NA",NA,NA,"NA",NA,NA,"37.718400000000003","-97.364199999999997","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","a plus galvanizing incorporated","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"332116","3469","NA","NA","NA","NA",NA,NA,"NA",NA,"1100 N Ohio","Salina","NA",NA,NA,"NA",NA,NA,"38.858400000000003","-97.587900000000005","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","a x and p incorporated","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","1389","NA","NA","NA","NA",NA,NA,"NA",NA,"Po Box 1176","Independence","NA",NA,NA,"NA",NA,NA,"37.3994","-95.667699999999996","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","abengoa bioenergy biomass of kansas limited liability corporation","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"32512, NA","2869, 1541","NA","NA","NA","NA",NA,NA,"NA",NA,"1043 Road P","Hugoton","NA",NA,NA,"NA",NA,NA,"37.1586","-101.3751","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","abengoa bioenergy corporation","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"32512","2869","NA","NA","NA","NA",NA,NA,"NA",NA,"Po Box 427","Colwich","NA",NA,NA,"NA",NA,NA,"37.785699999999999","-97.533799999999999","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","abercrombie energy limited liability corporation","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","1311","NA","NA","NA","NA",NA,NA,"NA",NA,"5510 Oil Center Rd S","Great Bend","NA",NA,NA,"NA",NA,NA,"39.067500000000003","-100.9905","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","abercrombie trust","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","1311","NA","NA","NA","NA",NA,NA,"NA",NA,"7309  E 21st N Apt 140","Wichita","NA",NA,NA,"NA",NA,NA,"39.067500000000003","-100.9905","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","abram","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","253","NA","NA","NA","NA",NA,NA,"NA",NA,"3813 N Lawton","Columbus","NA",NA,NA,"NA",NA,NA,"37.139299999999999","-94.777699999999996","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"KS","NA","NA",NA,"NA","achenbach","NA",NA,"NA","NA",NA,"NA",NA,"NA",NA,"NA","8999","NA","NA","NA","NA",NA,NA,"NA",NA,"126 E Lincoln","Lindsborg","NA",NA,NA,"NA",NA,NA,"38.573099999999997","-97.677700000000002","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,"NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
