"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","SourceNumber2","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","County2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_NAICSDESCR","SITESELECTION_SIC","SITESELECTION_SICDESCR","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","SITESELECTION_STATE_NAME","SITESELECTION_StateFIPS","SITESELECTION_CNTY_FIPS","SITESELECTION_ST_CNTY_FIPS","SITESELECTION_X","SITESELECTION_CDC_Region","SITESELECTION_huc2","DataSource"
"MN","WD",NA,"IN",NA,"3M COMPANY","3M COTTAGE GROVE MANUFACTURING SITE","3M COMPANY",NA,"1960-0687",NA,NA,NA,NA,NA,NA,NA,NA,"Industrial Process Cooling - Once Through",NA,NA,NA,NA,NA,NA,NA,"10746 Innovation Road","Cottage Grove","Washington","MN",NA,"10746 Innovation Road","Cottage Grove","WASHINGTON","MN",NA,"44.789295000000003","-92.911975999999996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P_36579","MN0001449","3M CO.","10746 INNOVATION ROAD","10746 INNOVATION ROAD","OK","COTTAGE GROVE","MN","WASHINGTON","55016","GOOD","(651) 733-1110","44.7915944","-92.9143162","326112","PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING","3291","NA","800","NA","NA","NA","NA","55016 _ (651) 733-1110","COTTAGE GROVE_10746 INNOVATION ROAD","PinPt","Pin, Bus, FRS and/or NPDES","N","Minnesota","27","163","27163","NA","West_North_Central","07","/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MN","WD",NA,"IN",NA,"8TH AND JEFFERSON LIMITED LIABILITY COMPANY","ANOVA FURNISHINGS","ANOVA FURNISHINGS",NA,"1998-5069",NA,NA,NA,NA,NA,NA,"327","3200","Non-metallic Processing (rubber, plastic, glass, concrete)",NA,NA,NA,NA,NA,NA,NA,"1101 E Sanborn St","Winona","Winona","MN",NA,"1101 E Sanborn St","Winona","WINONA","MN",NA,"44.039484999999999","-91.610393000000002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_110067959542","NA","ANOVA FURNISHINGS","1101 E SANBORN ST","1101 E SANBORN ST","OK","WINONA","MN","WINONA","55987","GOOD","NA","44.039698452808","-91.611335790263","332812","METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS.","NA","NA","NA","NA","NA","NA","NA","NA","WINONA_1101 E SANBORN ST","census.csv","FRS","Y","Minnesota","27","169","27169","NA","West_North_Central","07","/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MN","WD",NA,"IN",NA,"AACRON INCORPORATED","ARCH PLANT","AACRON INCORPORATED",NA,"1980-6182",NA,NA,NA,NA,NA,NA,"331","3300","Metal Processing",NA,NA,NA,NA,NA,NA,NA,"2705 Cheshire Lane","Minneapolis","Hennepin","MN",NA,"2705 Cheshire Lane","Minneapolis","HENNEPIN","MN",NA,"45.008853000000002","-93.458280999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P_36589","MNG250002","AACRON, INC.","2705 CHESHIRE LANE","2705 CHESHIRE LANE","OK","MINNEAPOLIS","MN","HENNEPIN","55447","GOOD","(763) 559-9141","45.0088631","-93.4583922","N/A","NOT AVAILABLE","3479","NA","55","NA","NA","NA","NA","55447 _ (763) 559-9141","MINNEAPOLIS_2705 CHESHIRE LANE","PinPt","Pin, Bus, FRS, NPDES","N","Minnesota","27","53","27053","NA","West_North_Central","07","/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MN","WD",NA,"IN",NA,"AACRON INCORPORATED","ARCH PLANT","AACRON INCORPORATED",NA,"1980-6182",NA,NA,NA,NA,NA,NA,"331","3300","Metal Processing",NA,NA,NA,NA,NA,NA,NA,"2705 Cheshire Lane N","Plymouth","Hennepin","MN",NA,"2705 Cheshire Lane N","Plymouth","HENNEPIN","MN",NA,"45.008853000000002","-93.458280999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP_4727868610","NA","AACRON INC","2705 CHESHIRE LN N","2705 CHESHIRE LANE N","UPDATED","PLYMOUTH","MN","HENNEPIN","55447","GOOD","NA","45.009888935359","-93.458517660908","332813","NA","NA","NA","NA","NA","NA","NA","81","NA","PLYMOUTH_2705 CHESHIRE LANE N","census.csv","PPP","N","Minnesota","27","53","27053","NA","West_North_Central","07","/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MN","WD",NA,"IN",NA,"AACRON INCORPORATED","TRIM PLANT","AACRON INCORPORATED",NA,"1978-6281",NA,NA,NA,NA,NA,NA,"331","3300","Metal Processing",NA,NA,NA,NA,NA,NA,NA,"2705 Cheshire Lane","Minneapolis","Hennepin","MN",NA,"2705 Cheshire Lane","Minneapolis","HENNEPIN","MN",NA,"45.008865999999998","-93.459537999999995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P_36589","MNG250002","AACRON, INC.","2705 CHESHIRE LANE","2705 CHESHIRE LANE","OK","MINNEAPOLIS","MN","HENNEPIN","55447","GOOD","(763) 559-9141","45.0088631","-93.4583922","N/A","NOT AVAILABLE","3479","NA","55","NA","NA","NA","NA","55447 _ (763) 559-9141","MINNEAPOLIS_2705 CHESHIRE LANE","PinPt","Pin, Bus, FRS, NPDES","N","Minnesota","27","53","27053","NA","West_North_Central","07","/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MN","WD",NA,"IN",NA,"AACRON INCORPORATED","TRIM PLANT","AACRON INCORPORATED",NA,"1978-6281",NA,NA,NA,NA,NA,NA,"331","3300","Metal Processing",NA,NA,NA,NA,NA,NA,NA,"2705 Cheshire Lane N","Plymouth","Hennepin","MN",NA,"2705 Cheshire Lane N","Plymouth","HENNEPIN","MN",NA,"45.008865999999998","-93.459537999999995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PP_4727868610","NA","AACRON INC","2705 CHESHIRE LN N","2705 CHESHIRE LANE N","UPDATED","PLYMOUTH","MN","HENNEPIN","55447","GOOD","NA","45.009888935359","-93.458517660908","332813","NA","NA","NA","NA","NA","NA","NA","81","NA","PLYMOUTH_2705 CHESHIRE LANE N","census.csv","PPP","N","Minnesota","27","53","27053","NA","West_North_Central","07","/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
"MN","WD",NA,"IN",NA,"AB MAURI FOOD INCORPORATED DBA OHLY AMERICAS",NA,NA,NA,"1966-1155",NA,NA,NA,NA,NA,NA,"31","2000","Agricultural/Food Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mcleod",NA,NA,NA,NA,NA,NA,NA,"44.892803000000001","-94.364641000000006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MN","WD",NA,"IN",NA,"ACME METAL SPINNING",NA,NA,NA,"1985-6286",NA,NA,NA,NA,NA,NA,"331","3300","Metal Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anoka",NA,NA,NA,NA,NA,NA,NA,"45.045426999999997","-93.269209000000004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MN","WD",NA,"IN",NA,"AG PROCESSING INCORPORATED AG PROCESSING INCORPORATED",NA,NA,NA,"1967-0014",NA,NA,NA,NA,NA,NA,"31122","2040","Industrial Process Cooling - Once Through",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lac Qui Parle",NA,NA,NA,NA,NA,NA,NA,"44.932991999999999","-96.057032000000007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs"
"MN","WD",NA,"IN",NA,"AGGREGATE INDUSTRIES","FOREST LAKE READY MIX","AGGREGATE INDUSTRIES",NA,"1998-6103",NA,NA,NA,NA,NA,NA,"327","3200","Non-metallic Processing (rubber, plastic, glass, concrete)",NA,NA,NA,NA,NA,NA,NA,"6125 210th St N","Forest Lake","Washington","MN",NA,"6125 210th St N","Forest Lake","WASHINGTON","MN",NA,"45.252034000000002","-92.980846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_110070244612","NA","AGGREGATE INDUSTRIES","6125 210TH ST N","6125 210TH ST N","OK","FOREST LAKE","MN","WASHINGTON","55025","GOOD","NA","NA","NA","327320","READY-MIX CONCRETE MANUFACTURING.","NA","NA","NA","NA","NA","NA","NA","NA","FOREST LAKE_6125 210TH ST N","NA","FRS","Y","NA","NA","NA","NA","NA","NA","NA","/MN/MN_IN_WU.xlsx$MN IN SIC Task, /MN/read_me.docx, Industrial_DataSummary_By_LEE.xlsx$WU_Industrial_table_SIC_NAICs, USEPA_HIFLD_EIA_PPP_facility_v7.csv"
