"State","ValueType","SourceType","Category","Saline","FacilityName","FacilityName1","FacilityName2","FacilityNumber","FacilityNumber1","FacilityNumber2","SourceName","SourceName1","SourceNumber","SourceNumber1","SourceNumber2","NAICS","SIC","Description","HUC8","HUC10","HUC12","AquiferName1","AquiferName2","BasinName1","BasinName2","Address1","City1","County1","State1","Zip1","Address2","City2","County2","State2","Zip2","Lat","Lon","Datum","Projection","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Units_monthly","Method_monthly","Annual_reported","Units_annual_reported","Method_annual_reported","DataProtected","FIPS5code","SITESELECTION_FACILITYID","SITESELECTION_V1","SITESELECTION_X","SITESELECTION_NPDES_ID","SITESELECTION_NAME","SITESELECTION_NAME_FIX","SITESELECTION_ADDRESS","SITESELECTION_ADDRESS_Fix","SITESELECTION_ADRSFLAG","SITESELECTION_CITY","SITESELECTION_STATE","SITESELECTION_COUNTY","SITESELECTION_ZIP","SITESELECTION_ZIP_5","SITESELECTION_FLAGZIP","SITESELECTION_PHONE","SITESELECTION_LATITUDE","SITESELECTION_LONGITUDE","SITESELECTION_NAICS","SITESELECTION_SIC","SITESELECTION_EMP","SITESELECTION_TotPerson","SITESELECTION_Area","SITESELECTION_AnnSaleVol","SITESELECTION_JobsReported","SITESELECTION_ZIP_PHONE","SITESELECTION_CITY_ADDRESS","SITESELECTION_LL_Src","SITESELECTION_DATASET_MATCHES_ALL2","SITESELECTION_NEW_REC","SITESELECTION_STATE_NAME","SITESELECTION_StateFIPS","SITESELECTION_CNTY_FIPS","SITESELECTION_ST_CNTY_FIPS","SITESELECTION_CDC_Region","SITESELECTION_huc2","SITESELECTION_NAICSDESCR","SITESELECTION_SICDESCR","DataSource"
"RI","RL","PS","IN",NA,"APOGEE PRECISION PARTS","APOGEE PRECISION PARTS","APOGEE PRECISION PARTS","94400310028",NA,NA,"RI1615627 WARWICK CITY OF",NA,"94400310028",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,"55 Access Road Suite 600","Warwick","Kent","RI",NA,"55 Access Road Suite 600","Warwick","KENT","RI",NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",6250662,"gal","Metered",NA,NA,"B_176212","394392","394392","NA","APOGEE PRECISION PARTS","APOGEE PRECISION PARTS","55 ACCESS RD STE 600","55 ACCESS ROAD SUITE 600","UPDATED","WARWICK","RI","KENT","2886","2886","GOOD","(401) 732-3634","41.733776","-71.448924","3399","NA","NA","NA","NA","NA","NA","02886 _ (401) 732-3634","WARWICK_55 ACCESS ROAD SUITE 600","BUSPT","BUS","N","RHODE ISLAND","44","3","44003","NEW_ENGLAND","1","OTHER MISCELLANEOUS MANUFACTURING","NA","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, USEPA_HIFLD_EIA_PPP_facility_v7.1.csv"
"RI","RL","PS","IN",NA,"ASPEN AEROGELS",NA,NA,"94400710051",NA,NA,"RI1615610 EAST PROVIDENCE CITY OF",NA,"94400710051",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",25560910.32,"gal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"RI","RL","PS","IN",NA,"BEACON DESIGN BY CHEMART",NA,NA,"94400710055",NA,NA,"RI1858423 LINCOLN TOWN OF",NA,"94400710055",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",5088841,"gal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"RI","RL","PS","IN",NA,"BLOUNT FINE FOODS",NA,NA,"94400110019",NA,NA,"RI1647515 BRISTOL COUNTY WATER AUTHORITY",NA,"94400110019",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bristol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",8106262,"gal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"RI","RL","WW","IN",NA,"BURRILLVILLE COLLECTION SYSTEM",NA,NA,"94400700201",NA,NA,"DANIELE INCORPORATED",NA,"94400700201",NA,NA,"311612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providence",NA,NA,NA,NA,NA,NA,NA,"41.952222222222197",NA,"NAD83",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13239243,"gal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"RI","RL","PS","IN",NA,"CINTAS FACILITY SERVICES",NA,NA,"94400710057",NA,NA,"RI1647530 CUMBERLAND TOWN OF",NA,"94400710057",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",15713210,"gal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"RI","RL","WW","IN",NA,"CRANSTON COLLECTION SYSTEM",NA,NA,"94400700202",NA,NA,"PEPSI BOTTLING",NA,"94400700202",NA,NA,"312111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providence",NA,NA,NA,NA,NA,NA,NA,"41.742777777777803",NA,"NAD83",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17284335.2,"gal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"RI","RL","PS","IN",NA,"DANIELE INCORPORATED","DANIELE INCORPORATED","DANIELE INCORPORATED","94400710056",NA,NA,"RI1858411 HARRISVILLE FIRE DISTRICT",NA,"94400710056",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,"105 Davis Dr","Pascoag","Providence","RI",NA,"105 Davis Dr","Pascoag","PROVIDENCE","RI",NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",14710270,"gal","Metered",NA,NA,"P_158603","224722","224722","NA","DANIELE, INC.","DANIELE INCORPORATED","105 DAVIS DRIVE","105 DAVIS DRIVE","UPDATED","PASCOAG","RI","PROVIDENCE","2859","2859","GOOD","(401) 568-6228","41.9378066","-71.6859448","311611","2013","100","NA","NA","NA","NA","02859 _ (401) 568-6228","PASCOAG_105 DAVIS DR","PINPT","PIN, BUS","N","RHODE ISLAND","44","7","44007","NEW_ENGLAND","1","ANIMAL (EXCEPT POULTRY) SLAUGHTERING","NA","natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712, USEPA_HIFLD_EIA_PPP_facility_v7.1.csv"
"RI","RL","PS","IN",NA,"EAST BAY ICE COMPANY",NA,NA,"94400710050",NA,NA,"RI1615610 EAST PROVIDENCE CITY OF",NA,"94400710050",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",7803562.36,"gal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
"RI","RL","PS","IN",NA,"IMMUNEX OF RI AMGEN INCORPORATED",NA,NA,"94400310025",NA,NA,"RI1559511 KENT COUNTY WATER AUTHORITY",NA,"94400310025",NA,NA,"221310","4941","Water Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metered",85830097,"gal","Metered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"natprod_CN_QNTY_industrial_2024-07-12.xlsx$SWUDS_IND_20240712"
